id,title,year,rating,runtime
1,Um Sonho de Liberdade,1994,9.3,2h 22m
2,O Poderoso Chefão,1972,9.2,2h 55m
3,Batman: O Cavaleiro das Trevas,2008,9.0,2h 32m
4,O Poderoso Chefão: Parte II,1974,9.0,3h 22m
5,12 Homens e uma Sentença,1957,9.0,1h 36m
6,O Senhor dos Anéis: O Retorno do Rei,2003,9.0,3h 21m
7,A Lista de Schindler,1993,9.0,3h 15m
8,Pulp Fiction: Tempo de Violência,1994,8.9,2h 34m
9,O Senhor dos Anéis: A Sociedade do Anel,2001,8.9,2h 58m
10,Três Homens em Conflito,1966,8.8,2h 41m
11,Forrest Gump: O Contador de Histórias,1994,8.8,2h 22m
12,O Senhor dos Anéis: As Duas Torres,2002,8.8,2h 59m
13,Clube da Luta,1999,8.8,2h 19m
14,A Origem,2010,8.8,2h 28m
15,Star Wars: Episódio V - O Império Contra-Ataca,1980,8.7,2h 4m
16,Matrix,1999,8.7,2h 16m
17,Os Bons Companheiros,1990,8.7,2h 25m
18,Um Estranho no Ninho,1975,8.7,2h 13m
19,Interestelar,2014,8.7,2h 49m
20,Seven - Os Sete Crimes Capitais,1995,8.6,2h 7m
21,A Felicidade Não se Compra,1946,8.6,2h 10m
22,O Silêncio dos Inocentes,1991,8.6,1h 58m
23,Os Sete Samurais,1954,8.6,3h 27m
24,O Resgate do Soldado Ryan,1998,8.6,2h 49m
25,Cidade de Deus,2002,8.6,2h 10m
