id,title,year,rating,seasons,episodes
26,Breaking Bad,2008,9.5,2008-2013,62
27,Planeta Terra II,2016,9.4,2016,6
28,Planeta Terra,2006,9.4,2006,11
29,Irmãos de Guerra,2001,9.4,2001,10
30,Chernobyl,2019,9.3,2019,5
31,A Escuta,2002,9.3,2002-2008,60
32,Avatar: A Lenda de Aang,2005,9.3,2005-2008,62
33,Planeta Azul II,2017,9.3,2017,7
34,Família Soprano,1999,9.2,1999-2007,86
35,Cosmos: Uma Odisseia do Espaço-Tempo,2014,9.2,2014,13
36,Cosmos,1980,9.3,1980,13
37,Nosso Planeta,2019,9.2,2019-2023,12
38,Game of Thrones,2011,9.2,2011-2019,74
39,Bluey,2018,9.3,2018-,195
40,O Mundo em Guerra,1973,9.2,1973-1974,26
41,Fullmetal Alchemist: Brotherhood,2009,9.1,2009-2010,68
42,Vida,2009,9.1,2009,11
43,Rick e Morty,2013,9.1,2013-,85
44,Arremesso Final,2020,9.0,2020,10
45,Além da Imaginação,1959,9.0,1959-1964,156
46,Ataque dos Titãs,2013,9.1,2013-2023,98
47,A Guerra do Vietnã,2017,9.1,2017,10
48,Sherlock,2010,9.1,2010-2017,15
49,Batman: A Série Animada,1992,9.0,1992-1995,85
50,Arcane,2021,9.0,2021-2024,18
